"","MUNICIPIO","RISP","JAN","FEV","MAR","ABR","MAI","JUN","JULHO","AGO","SET","OUT","NOV","DEZ"
"81","NOVO REPARTIMENTO","09RISP",2,0,2,3,1,1,2,2,4,2,0,2
"82","OBIDOS","12RISP",2,2,3,2,2,4,4,1,4,3,1,1
"83","OEIRAS DO PARA","04RISP",0,0,1,1,0,0,3,2,1,2,3,0
"84","ORIXIMINA","12RISP",3,11,0,2,3,3,2,4,4,1,4,1
"85","OUREM","06RISP",1,0,0,0,0,0,0,0,3,0,1,1
"86","OURILANDIA DO NORTE","14RISP",1,1,2,0,0,1,0,4,4,2,2,2
"87","PACAJA","09RISP",0,0,2,1,1,1,2,2,0,3,1,0
"88","PALESTINA DO PARA","10RISP",0,0,2,0,0,0,2,0,0,2,1,0
"89","PARAGOMINAS","07RISP",4,3,4,0,3,1,2,3,3,3,2,6
"90","PARAUAPEBAS","10RISP",12,15,13,4,3,10,15,11,11,8,11,7
"91","PAU D'ARCO","13RISP",0,0,0,1,0,1,0,0,0,1,1,0
"92","PEIXE BOI","06RISP",0,0,0,0,0,0,0,1,1,0,0,0
"93","PICARRA","10RISP",1,0,1,3,0,0,0,0,1,0,0,0
"94","PLACAS","15RISP",1,0,1,1,1,0,1,0,3,0,1,3
"95","PONTA DE PEDRAS","05RISP",2,1,1,0,0,3,0,0,1,6,0,1
"96","PORTEL","08RISP",1,1,2,0,0,1,1,0,2,3,3,0
"97","PORTO DE MOZ","11RISP",0,0,1,2,1,0,1,4,2,0,3,0
"98","PRAINHA","12RISP",0,1,0,0,0,0,0,1,1,0,0,3
"99","PRIMAVERA","06RISP",0,0,0,0,0,0,0,0,2,2,0,0
"100","QUATIPURU","06RISP",0,0,0,0,0,0,1,2,0,1,0,0
"101","REDENCAO","13RISP",5,0,2,2,2,1,1,2,1,2,2,1
"102","RIO MARIA","14RISP",0,3,0,0,0,2,2,1,1,0,1,1
"103","RONDON DO PARA","10RISP",0,0,0,4,1,2,1,2,0,0,0,1
"104","RUROPOLIS","15RISP",1,3,0,0,2,0,0,4,5,1,2,1
"105","SALINOPOLIS","06RISP",2,1,0,2,3,3,1,4,1,1,3,2
"106","SALVATERRA","05RISP",0,1,2,5,4,1,0,1,1,1,0,1
"107","SANTA BARBARA DO PARA","02RISP",1,0,1,0,0,0,1,1,2,2,3,1
"108","SANTA CRUZ DO ARARI","05RISP",1,0,0,0,0,0,3,1,1,0,0,0
"109","SANTA IZABEL DO PARA","03RISP",3,3,1,3,4,4,2,1,2,2,6,1
"110","SANTA LUZIA DO PARA","06RISP",0,1,0,2,1,1,0,0,0,0,4,1
"111","SANTA MARIA DAS BARREIRAS","13RISP",0,0,0,0,0,0,0,0,1,1,1,0
"112","SANTA MARIA DO PARA","03RISP",0,0,0,3,0,1,0,0,1,1,1,3
"113","SANTANA DO ARAGUAIA","13RISP",3,0,1,2,2,2,0,1,0,2,2,0
"114","SANTAREM","12RISP",11,6,9,14,8,12,11,11,15,23,13,5
"115","SANTAREM NOVO","06RISP",1,1,1,1,1,0,0,0,1,0,0,0
"116","SANTO ANTONIO DO TAUA","03RISP",1,0,1,0,0,4,3,2,0,2,3,3
"117","SAO CAETANO DE ODIVELAS","03RISP",0,1,1,0,1,1,1,2,4,1,0,1
"118","SAO DOMINGOS DO ARAGUAIA","10RISP",1,0,1,1,1,1,2,1,2,0,3,0
"119","SAO DOMINGOS DO CAPIM","03RISP",0,0,1,2,0,5,0,0,1,1,1,0
"120","SAO FELIX DO XINGU","14RISP",4,5,0,0,1,4,4,5,3,2,0,1
"121","SAO FRANCISCO DO PARA","03RISP",0,1,0,2,1,0,1,0,0,0,2,1
"122","SAO GERALDO DO ARAGUAIA","10RISP",1,2,1,1,0,0,2,1,1,0,1,0
"123","SAO JOAO DA PONTA","03RISP",0,0,0,1,0,0,0,0,1,0,1,0
"124","SAO JOAO DE PIRABAS","06RISP",0,4,0,1,1,0,0,0,0,3,2,0
"125","SAO JOAO DO ARAGUAIA","10RISP",2,0,1,3,1,0,1,2,0,1,0,0
"126","SAO MIGUEL DO GUAMA","03RISP",3,1,2,3,2,2,0,2,1,1,1,2
"127","SAO SEBASTIAO DA BOA VISTA","08RISP",2,1,2,0,0,1,0,0,1,0,1,0
"128","SAPUCAIA","14RISP",0,0,0,0,0,0,0,0,0,0,0,0
"129","SENADOR JOSE PORFIRIO","11RISP",0,1,1,1,1,1,0,1,2,0,4,1
"130","SOURE","05RISP",3,5,2,4,0,3,2,3,5,0,6,2
"131","TAILANDIA","09RISP",4,1,1,1,1,4,3,1,2,4,2,4
"132","TERRA ALTA","03RISP",0,0,0,0,0,0,1,1,0,2,0,1
"133","TERRA SANTA","12RISP",0,1,0,0,0,0,0,1,1,0,1,0
"134","TOME ACU","03RISP",0,8,1,2,0,6,5,3,4,1,1,2
"135","TRACUATEUA","06RISP",0,1,0,0,1,0,0,2,0,4,0,0
"136","TRAIRAO","15RISP",1,0,0,0,0,1,0,1,1,0,0,1
"137","TUCUMA","14RISP",1,0,1,0,0,0,0,0,1,0,0,1
"138","TUCURUI","09RISP",3,0,2,4,1,3,3,3,3,5,3,5
"139","ULIANOPOLIS","07RISP",2,0,0,1,0,0,0,1,0,0,3,0
"140","URUARA","11RISP",1,2,1,2,1,4,1,2,1,4,6,1
"141","VIGIA","03RISP",1,1,2,0,1,3,1,3,2,1,2,5
"142","VISEU","06RISP",1,1,0,1,2,1,3,1,2,2,0,2
"143","VITORIA DO XINGU","11RISP",0,0,1,0,1,1,0,0,0,2,0,0
"144","XINGUARA","14RISP",3,0,0,0,1,2,3,0,2,0,1,1
